age,annual_income,customer_satisfaction,purchase_frequency,customer_loyalty
49,103716,6,22,2
32,69583,1,12,2
39,26684,1,23,7
51,80267,6,9,3
61,32799,6,29,8
20,92975,7,16,10
37,118960,9,24,4
22,63099,2,23,3
49,17990,1,4,6
61,96216,8,6,5
50,25368,6,2,8
43,56540,9,3,2
55,15399,8,24,6
24,45657,4,27,9
53,71073,9,13,5
21,53161,7,21,2
62,28675,7,3,8
48,64816,2,18,6
53,57260,4,23,6
35,73549,10,13,4
58,95050,8,23,2
39,109123,7,1,6
18,43570,9,5,10
27,77748,8,7,1
58,54759,3,10,4
51,78322,7,1,3
42,85272,6,11,6
50,84682,10,7,8
60,29296,3,8,5
50,43755,6,9,6
41,22184,9,23,7
23,73010,8,5,9
37,96383,1,6,5
44,35663,6,13,5
40,87110,1,13,10
49,106254,2,16,1
25,96322,3,6,2
26,62951,4,22,8
56,103399,1,2,2
43,29123,5,19,6
30,46684,9,22,10
55,43860,10,28,4
48,36936,10,1,8
64,91821,8,30,3
51,116688,6,10,3
37,93599,1,15,3
35,60111,2,13,8
20,112208,8,16,1
20,91533,7,20,6
36,89153,4,24,2
43,78865,4,1,10
24,101159,1,15,10
24,53071,2,10,7
19,52217,10,4,5
58,62837,10,17,6
52,53080,4,24,6
40,80080,7,26,3
47,40520,5,25,9
26,46928,9,26,1
33,88967,6,10,4
23,90624,5,6,6
56,73859,8,9,1
50,92596,8,25,7
48,65786,6,23,5
21,31327,9,3,4
55,25978,2,28,6
35,57564,4,4,2
38,50197,1,19,2
61,75894,1,1,5
34,70563,10,27,4
29,64931,1,4,3
23,83236,5,17,6
25,113203,3,1,1
34,97580,10,28,8
54,44569,3,17,4
40,90371,10,19,1
45,60545,6,16,8
33,69908,6,3,5
57,118453,4,5,7
60,111628,2,3,1
48,78855,3,8,2
50,85710,7,23,7
29,52097,10,26,1
18,41181,6,19,7
62,75733,8,25,5
20,87761,5,7,6
26,95017,7,17,7
60,59760,6,28,7
43,20116,2,22,8
25,86345,3,15,7
42,79372,6,1,6
55,64094,5,8,9
33,112312,7,22,1
41,23974,1,26,5
35,25683,3,17,3
26,60316,6,10,4
33,91321,9,17,9
60,38559,1,1,6
48,18884,4,4,5
24,18299,4,18,7
46,118705,8,15,9
59,66148,3,30,6
32,101507,10,18,5
25,60058,3,4,2
20,37799,1,28,10
28,41795,7,7,1
64,91159,7,14,8
57,80012,5,1,5
39,25452,5,10,1
62,82299,8,7,8
23,95220,8,14,8
28,57542,3,10,5
22,103687,10,10,7
18,89496,10,29,6
39,104897,3,21,6
45,116487,4,28,1
20,75700,8,30,5
24,83961,3,7,7
57,26270,2,11,4
36,45957,3,14,8
38,80259,5,3,5
48,114654,4,22,3
50,32637,7,1,9
39,116117,3,11,3
39,76570,6,5,5
33,115882,10,10,5
52,22319,8,12,1
63,80990,8,12,4
21,63353,4,1,4
21,83359,4,22,2
28,20296,7,8,5
43,61822,6,21,1
27,21963,6,23,2
60,72371,9,10,1
36,119321,1,1,10
61,18888,6,21,7
46,78725,1,11,4
54,98396,2,4,6
47,70973,7,4,6
33,66833,3,16,5
36,114582,8,29,8
41,53215,3,26,10
34,98239,9,21,7
36,89393,9,11,5
18,19194,8,21,3
61,100280,6,13,2
65,65118,3,30,8
20,25915,4,19,2
47,16914,7,27,5
49,78998,3,17,5
20,32403,7,1,5
45,84391,3,22,8
18,32145,3,13,4
38,68202,7,2,8
33,42657,5,19,2
37,32119,10,25,3
55,83800,5,28,10
35,96760,3,5,8
38,80852,5,4,3
38,118284,10,18,4
46,26452,1,30,9
31,31592,6,19,10
24,113073,4,28,1
50,118893,2,17,4
45,54908,7,1,3
47,85645,9,29,8
54,91583,9,4,1
34,46942,9,13,7
51,42624,1,10,5
56,74497,6,4,10
45,65964,6,13,8
49,50572,6,12,3
23,89188,7,28,2
59,67314,9,8,10
51,102115,8,23,4
39,16667,1,7,9
52,48599,7,25,10
42,114702,8,20,9
60,51556,9,10,3
44,83579,1,17,6
37,72641,7,15,9
35,37566,5,30,3
43,59289,4,5,4
19,64712,1,15,7
41,17578,5,15,2
56,36978,5,11,3
20,40801,8,27,7
61,86241,6,8,3
50,59349,7,18,9
21,37066,6,5,8
35,78546,9,25,2
18,63880,7,11,1
64,51515,1,16,6
58,67822,8,9,5
47,103227,6,12,8
60,28539,7,15,1
30,49062,1,4,7
45,103064,2,6,6
29,32761,5,1,10
32,23270,2,3,6
64,116519,3,14,3
33,93507,8,23,5
18,48777,2,30,6
53,110426,5,28,2
64,50708,7,30,3
38,15829,1,19,3
40,106746,10,9,2
44,26184,1,15,8
61,45048,1,30,6
27,102616,7,9,5
46,73591,8,25,2
35,19509,5,30,10
61,64349,7,12,1
37,107518,4,4,9
30,55930,1,2,3
43,28236,5,13,7
29,18851,2,25,8
21,90198,6,28,4
29,28825,1,2,7
48,58402,2,12,8
26,76761,2,7,9
26,99940,6,2,4
30,101833,4,7,5
46,32026,8,22,2
54,100041,2,29,2
18,16129,3,4,6
26,51113,10,14,8
38,58870,10,12,7
46,78414,4,4,8
55,93468,3,20,10
59,100042,4,7,5
25,90095,8,18,6
46,47069,1,1,7
53,96000,1,22,5
18,116987,4,24,10
39,79823,7,15,1
22,32659,6,11,9
64,79395,1,29,6
25,83283,3,26,7
21,40932,5,1,10
40,94969,2,4,3
39,92710,6,20,7
55,102615,3,8,9
35,79592,6,3,8
28,65223,9,15,10
59,78968,8,2,10
24,90248,5,29,9
37,40494,4,21,4
49,91346,6,8,5
64,56354,2,8,6
43,30661,3,24,2
55,74521,3,23,7
24,75321,5,23,2
25,61432,10,15,1
56,115167,9,9,4
58,60200,5,26,4
41,35007,6,25,9
22,18958,4,15,4
60,105918,2,22,9
45,55504,7,1,5
53,31434,7,6,3
45,75050,2,14,4
45,70659,10,3,8
36,44677,9,11,9
59,98379,8,24,7
33,57818,5,20,5
25,82683,1,26,10
61,68916,2,29,9
31,39494,1,15,7
47,87119,7,12,10
61,90212,9,3,8
44,74274,1,23,6
19,117738,2,17,2
32,92443,7,24,4
26,37022,1,24,8
62,70588,7,20,8
41,36772,9,22,7
36,25694,1,1,9
55,96721,8,16,6
22,26031,8,20,3
47,72298,8,29,9
47,111405,4,19,3
34,57680,9,26,5
32,24450,1,1,4
32,73487,8,1,1
31,63356,2,26,10
53,46794,7,30,1
26,53908,10,11,3
56,116481,7,30,3
63,61287,10,3,4
32,86271,3,6,3
20,97887,3,2,3
41,51798,1,11,5
42,71483,3,9,5
52,94124,1,29,10
35,95570,3,17,5
18,62017,2,17,5
27,53924,7,5,2
28,112985,2,9,8
38,100825,3,20,6
65,28148,4,19,7
53,36534,10,28,8
33,108477,6,3,2
41,70173,8,18,3
35,70621,3,6,3
25,72196,2,16,1
40,38868,9,4,1
54,66947,6,16,9
30,107607,5,21,4
53,81677,3,25,7
60,60132,2,20,2
47,99062,1,19,9
40,65372,6,12,2
59,28943,10,17,6
53,30598,3,22,6
18,65534,1,3,4
58,65181,1,27,7
59,54931,7,5,6
54,118058,4,28,3
18,50733,7,13,3
18,28286,3,25,8
35,58665,10,4,8
52,26067,3,24,6
42,56274,3,10,4
56,68765,3,9,9
55,111473,2,12,4
42,15348,2,28,8
33,79111,2,30,1
65,24647,1,14,5
59,94592,10,24,6
51,54712,5,27,1
58,100654,4,9,7
29,73107,9,5,4
24,35844,6,2,9
33,110610,7,5,9
53,20572,8,26,10
50,40927,10,25,3
45,46900,4,8,4
43,35834,7,18,2
54,52717,4,13,10
35,52797,2,14,3
46,22419,9,23,5
60,17075,9,28,4
53,80177,2,21,7
32,117905,1,4,10
41,52111,6,22,4
61,55944,1,6,9
33,63247,8,7,8
19,28036,7,17,8
27,40091,7,26,9
44,111782,10,1,4
26,119658,2,21,7
30,28575,1,20,4
27,76889,9,19,2
52,63182,10,15,8
18,30887,1,29,4
33,39885,8,11,3
58,113877,9,15,9
41,70555,1,18,9
57,87138,3,22,6
36,48605,7,1,3
51,76892,2,30,9
53,91527,6,10,6
38,40024,5,26,2
60,94445,8,11,7
51,46178,4,11,8
60,79805,2,16,4
42,67313,2,27,1
38,114246,8,20,5
27,78845,1,13,10
48,58118,3,12,2
20,15627,2,4,6
56,102871,6,14,8
60,18215,4,6,9
18,76830,8,29,4
44,90818,8,15,10
18,71670,5,3,3
50,36442,9,6,3
48,33647,9,2,7
62,22172,3,23,6
46,19804,9,13,9
60,71483,7,29,8
60,37495,3,20,1
23,95485,9,18,3
52,102514,9,3,5
31,76439,2,25,10
24,118336,2,28,10
28,102310,3,14,7
30,85300,10,5,6
43,86569,3,26,1
56,89188,9,8,3
53,35125,4,16,5
61,34397,10,12,3
45,93579,9,3,7
61,79827,3,17,9
55,76263,3,15,9
44,85504,2,15,7
63,15804,3,26,10
37,36405,5,16,1
62,76741,9,27,5
34,26901,7,9,5
48,75611,3,11,10
36,88693,10,19,8
39,78073,6,30,10
27,69623,2,29,4
52,59986,9,16,10
30,78847,8,21,10
18,21190,5,2,3
30,48545,5,13,9
63,44422,4,2,6
19,18715,8,11,2
62,42915,9,26,5
33,86535,5,9,6
54,73172,4,9,4
43,25404,3,9,9
45,67943,10,16,9
27,34068,9,28,8
31,63586,10,8,7
42,66029,9,19,3
62,46031,4,18,6
42,23174,9,28,6
57,28113,4,12,5
51,79472,6,18,2
28,69343,3,25,1
18,70269,9,7,9
25,92216,2,20,9
46,31991,10,24,4
18,65029,3,18,7
41,52585,3,8,10
26,42113,7,3,7
47,58016,10,3,4
35,87495,6,18,1
33,25317,10,28,6
39,71698,5,29,3
51,105236,1,22,8
45,28841,3,3,4
22,103462,6,29,4
57,116289,2,9,2
44,52901,6,20,4
25,31763,2,6,10
45,61969,1,19,10
45,80882,3,20,3
51,113554,4,19,6
23,43200,5,3,4
63,20848,3,28,2
48,47899,2,20,6
44,96413,9,17,9
46,42485,9,9,5
36,95660,8,15,5
65,118520,1,4,5
31,115992,5,23,1
18,98760,3,29,9
46,19580,1,4,2
24,44589,9,6,2
27,94229,2,13,9
48,77009,9,5,3
37,113726,2,23,2
25,49394,3,11,8
57,49899,2,23,1
64,24943,8,8,5
56,52486,9,28,1
36,66155,6,6,4
24,57837,4,6,3
39,65639,9,12,1
60,88991,9,19,2
61,82543,10,18,10
22,84303,2,4,9
42,75120,6,16,9
56,71447,2,30,2
54,61701,6,16,1
52,65127,6,25,4
62,48855,8,6,3
31,48354,4,5,2
35,58894,5,24,9
61,92161,1,9,5
22,41764,10,19,3
56,80679,2,9,7
63,103441,7,30,1
31,115980,8,3,8
60,46794,9,15,8
20,117668,3,29,9
19,25525,8,29,1
41,99511,2,22,9
44,41602,5,18,10
18,54265,7,11,10
35,115802,1,12,1
19,83722,6,8,9
60,60670,6,1,10
55,59233,6,19,8
63,55633,4,21,5
26,51321,1,23,8
40,61238,1,19,2
54,24767,4,15,2
45,55954,10,24,7
49,27996,2,23,4
21,54298,10,12,10
48,71407,5,3,2
21,19767,2,30,3
48,83876,9,26,4
37,30469,9,1,3
33,94579,10,19,4
41,47172,9,5,7
27,117942,5,26,10
19,102537,10,1,1
48,68809,10,29,9
41,90339,3,29,3
29,98734,8,18,9
36,43774,4,4,4
24,110577,8,5,10
47,104619,9,13,7
65,63821,3,21,6
22,20822,9,10,2
59,64626,3,12,10
41,36831,2,15,9
46,111814,10,10,3
65,32459,2,28,8
60,17882,7,6,6
29,97607,3,11,5
64,24014,4,22,2
47,99187,2,27,7
31,25668,1,24,10
34,63363,8,29,5
53,109004,9,17,1
49,93466,10,10,6
34,73340,9,30,6
37,63292,7,20,4
52,109606,8,24,4
54,55980,1,28,7
42,96892,6,4,9
63,27601,4,27,1
44,46498,4,15,9
49,93235,7,22,5
18,102673,2,29,3
22,45374,2,9,1
57,34259,8,19,5
48,42808,3,9,4
45,83534,9,27,8
50,24313,10,1,3
53,74602,7,21,3
34,110165,1,11,2
20,84821,5,12,5
26,70086,2,4,6
63,98110,2,30,6
33,96937,4,16,1
41,50353,10,9,5
65,86460,10,10,8
37,119496,5,25,1
27,63507,10,21,7
31,65872,6,7,3
65,94666,7,11,3
26,34181,5,8,10
32,68187,10,12,10
22,109830,1,6,10
61,22845,5,5,10
22,117128,9,19,2
41,62356,4,28,6
18,38348,10,18,3
64,64618,3,4,1
21,109302,3,3,4
23,57755,8,12,3
35,32419,5,3,6
55,72090,9,21,6
23,40009,1,25,6
25,28797,5,23,9
23,33008,6,9,1
51,102398,10,21,9
63,60738,8,7,4
19,43597,2,26,5
38,104897,9,29,6
42,42613,1,17,3
44,76090,4,27,7
40,43561,5,20,2
41,35656,10,28,4
44,24335,5,9,7
61,72618,5,23,1
64,25497,3,17,8
60,44372,5,18,9
49,111452,8,16,7
34,101208,2,4,3
40,111698,10,1,3
34,98696,9,2,1
21,53410,9,4,1
37,30900,6,19,4
47,85902,6,9,2
28,63924,2,17,10
41,20477,2,2,2
26,76793,7,21,2
51,19724,9,22,10
31,40444,2,3,2
27,30519,2,14,8
32,68724,5,13,9
32,101199,5,17,10
40,66757,3,12,8
62,74146,6,3,3
49,118917,7,23,4
54,29927,5,3,4
31,93552,2,20,1
63,43727,1,28,1
41,85943,5,5,1
41,44600,7,22,7
26,97007,10,24,9
53,83522,10,16,7
43,63490,5,1,2
62,111945,5,5,2
34,37733,9,2,9
57,105120,5,15,7
53,80430,7,7,4
40,22311,1,5,3
60,40521,1,29,10
51,61925,1,30,5
34,79231,4,6,3
35,16968,6,4,3
47,50113,6,17,4
58,95265,5,7,4
65,110025,10,8,5
35,28358,9,4,2
59,29619,8,11,8
63,65644,5,30,4
43,20693,6,5,7
42,113203,8,30,10
61,23284,10,3,9
19,39596,8,10,2
30,52541,4,19,8
39,36655,1,14,1
24,98520,7,5,4
26,60939,7,25,8
46,21930,9,3,2
63,81032,9,6,2
31,23864,10,22,8
39,60646,2,5,6
41,73802,6,11,6
59,102912,7,7,6
32,100298,2,13,10
60,83360,5,27,6
64,39208,1,4,1
36,50298,2,5,8
20,100509,9,1,2
55,60738,9,13,6
38,27041,3,17,9
53,69537,8,26,4
53,66239,3,25,5
56,87632,10,23,2
26,114818,9,28,7
61,42055,2,2,2
54,23907,2,14,7
63,118921,6,24,9
39,115398,5,4,4
34,79501,4,8,3
35,85751,7,14,8
36,69595,10,3,10
46,107323,9,7,2
43,64800,5,29,3
48,82823,5,24,2
48,72038,9,13,9
27,89229,5,10,8
36,46802,3,24,4
30,102940,2,29,5
38,87843,8,19,7
32,58692,1,6,4
20,85155,6,13,8
36,74826,2,7,7
60,35792,4,3,7
56,92324,7,29,2
21,48270,9,9,5
60,65251,9,14,2
49,80619,8,20,4
30,50460,5,13,10
20,65458,9,29,2
58,25822,9,13,4
29,40513,7,21,8
26,109869,5,21,6
34,105486,4,15,2
48,101339,5,5,4
25,79885,1,9,5
63,45260,1,29,7
28,93098,1,2,1
41,101711,4,8,3
64,110295,2,15,7
33,25869,2,15,1
50,36156,1,18,3
53,62361,10,1,10
35,113267,5,23,2
30,98818,6,17,8
50,35440,8,8,10
29,113085,5,10,2
23,90454,6,16,1
39,75524,4,13,8
48,33258,10,21,1
60,22516,10,12,10
51,50850,8,26,3
20,88315,9,2,1
46,68038,9,27,6
47,76961,2,29,2
23,36283,7,30,6
49,108435,3,4,3
47,27645,2,12,6
58,39904,8,1,6
20,95407,10,15,6
50,51990,2,9,10
40,37727,4,23,6
23,71241,9,25,7
38,92215,9,1,6
30,27910,4,9,7
32,38898,9,25,1
48,61824,6,20,3
27,47545,8,30,9
20,114752,4,29,5
45,29351,5,2,5
33,20133,7,2,7
64,58651,1,14,4
54,98350,10,20,10
63,81581,5,24,3
49,79441,1,14,8
62,51378,4,19,3
21,24593,7,19,3
51,81294,7,5,6
58,97127,1,7,4
38,21217,2,14,6
42,68813,10,15,2
37,64437,5,26,5
32,73199,2,25,9
46,113629,3,18,4
19,58205,5,22,8
44,25235,1,2,4
47,50875,7,1,9
24,23457,4,16,5
35,118994,4,15,8
36,19300,7,20,9
27,98989,7,21,5
39,46487,3,23,7
52,49435,2,10,10
45,94108,1,6,4
41,64409,9,2,9
20,65575,1,2,10
59,82483,8,2,10
23,51954,8,7,4
57,86565,8,18,8
57,55661,4,25,10
63,29735,1,9,9
53,114268,4,13,3
63,70922,9,24,9
31,87191,10,27,5
32,49749,6,12,5
18,57622,3,1,2
28,98576,5,22,5
20,103495,2,20,6
58,112838,9,19,7
26,25070,5,3,8
23,30473,3,25,3
29,114822,3,6,10
46,59716,5,5,10
38,23365,9,2,8
49,74489,3,8,3
51,116659,8,8,10
30,99243,3,15,2
64,106850,2,12,5
59,110182,2,13,6
34,21253,4,16,7
45,30439,5,28,9
52,57983,1,28,10
20,50447,3,18,9
41,29328,8,18,7
40,74617,3,11,5
28,85926,4,20,2
27,108775,10,9,1
59,36676,9,20,7
56,30697,9,15,4
63,17413,1,20,1
25,110407,3,18,7
22,86643,3,11,10
48,18338,7,15,9
58,51693,1,24,3
53,64375,1,6,10
30,47858,4,16,8
61,22667,9,28,1
33,101137,5,25,6
23,95247,10,25,1
61,31048,7,27,10
58,107011,2,2,7
33,105887,3,7,3
19,64232,2,1,7
21,83286,10,1,7
30,119496,3,9,7
46,111340,5,15,10
56,117313,3,15,4
44,33529,9,14,7
60,21016,1,5,7
62,95064,8,28,9
43,45610,10,18,8
39,39423,2,29,10
48,25436,2,23,1
57,32738,4,8,7
51,47046,1,29,6
38,46056,2,6,10
30,72127,4,4,7
62,95502,7,20,6
40,95005,6,8,6
47,92773,8,19,8
38,31359,4,16,7
35,58264,7,11,3
61,35329,5,11,8
44,31122,9,14,7
19,50050,10,20,1
30,107169,1,16,7
54,119606,10,5,10
65,113513,7,8,10
59,63928,10,27,5
28,40282,10,6,8
44,93225,1,30,7
25,72754,5,23,10
47,90598,5,26,3
61,119950,4,7,5
53,99008,5,3,3
23,82756,9,12,8
42,45982,10,24,9
21,32247,2,21,7
30,93041,10,1,3
31,48592,5,28,1
51,49124,5,5,9
45,78061,3,24,7
63,16499,7,8,8
39,91300,10,9,6
18,71810,7,15,3
33,42125,5,5,2
48,86513,7,30,1
25,54947,8,14,5
47,48155,7,30,8
59,33754,10,14,4
49,44991,2,5,4
47,42625,4,14,8
65,38113,1,14,10
49,63439,5,28,4
38,107577,8,24,10
39,90672,8,22,1
51,16501,6,10,1
43,57280,4,1,10
41,56938,1,27,7
64,89065,5,18,5
19,46972,2,16,2
18,116797,2,19,10
35,87868,10,12,2
55,88864,10,10,9
44,37407,3,22,7
65,51310,1,12,9
57,57804,3,15,4
54,84762,8,27,10
59,76339,7,11,7
56,96747,8,20,7
28,111993,1,1,3
41,58550,4,20,7
64,94130,3,18,2
27,102527,2,28,8
64,67213,10,28,9
36,33199,10,11,6
37,107010,2,28,7
64,26786,5,23,7
43,82367,5,23,9
51,50296,5,16,3
27,53396,5,3,9
42,32116,9,25,1
64,91687,1,15,5
47,75277,7,30,7
38,102927,4,3,10
46,24367,10,5,10
62,71734,6,1,4
55,26380,7,9,4
48,32853,7,17,6
59,74941,8,26,9
35,55203,7,15,7
41,47103,3,24,2
23,111112,4,23,6
36,107808,9,2,6
33,110635,1,27,7
40,67169,6,16,3
45,26963,2,30,4
54,43423,5,11,1
21,107314,7,16,3
59,89557,7,4,6
33,78533,4,24,2
64,64583,2,30,2
45,54113,2,29,2
65,101568,4,27,10
58,113876,3,6,4
27,99180,10,7,4
60,87035,9,30,1
19,91880,3,2,7
54,105723,10,6,10
18,84087,3,13,6
48,63115,7,20,7
43,68834,7,4,5
56,89992,3,29,9
51,59209,10,13,2
31,101221,7,24,1
41,85095,5,7,1
37,112652,6,2,1
18,52173,1,21,2
60,33701,10,17,5
23,41706,10,15,3
26,83824,7,11,10
34,20646,1,12,10
55,119491,8,29,1
53,29517,5,25,3
52,89502,3,1,8
24,88790,8,27,7
65,82996,1,6,3
48,70236,6,5,4
43,89193,2,18,6
54,63079,7,23,4
32,111490,9,5,2
53,59932,1,2,5
26,109989,9,15,5
65,88976,10,30,4
60,21559,4,28,8
19,25305,8,4,7
34,86139,9,2,4
32,25845,6,11,4
62,78614,1,14,9
19,106282,1,18,4
51,43538,6,24,5
56,50985,5,18,7
21,47122,5,13,3
33,40207,4,17,3
64,36770,8,28,7
18,94552,7,8,6
29,84191,4,28,3
26,82574,7,15,2
33,23604,3,20,7
30,52283,9,28,5
57,60212,10,8,7
27,58467,8,18,3
64,91555,8,11,1
30,15208,6,29,9
32,86423,2,30,3
22,65167,6,4,5
31,77866,5,4,9
29,94881,3,6,2
37,87310,5,25,1
59,22360,4,22,5
23,104873,3,28,6
29,29270,5,5,1
60,118883,3,26,10
18,117000,2,9,2
54,102215,2,20,8
63,69676,8,14,4
64,97648,6,17,9
56,21763,9,16,3
59,112592,8,8,4
24,63037,7,1,3
59,49424,2,7,8
19,28773,4,21,9
21,18474,7,12,8
55,75280,3,5,4
54,44918,10,17,10
19,54539,1,14,1
59,36113,9,13,5
19,114078,5,7,10
25,65387,8,1,5
25,101991,9,24,2
48,99101,8,12,9
32,105540,9,17,5
62,82479,10,5,4
25,50337,8,19,8
32,72524,4,30,7
50,80680,1,2,8
44,38360,9,1,2
45,61970,8,19,9
30,96884,1,4,8
34,118108,3,28,9
23,26081,5,1,7
24,39508,7,25,3
35,21192,10,26,2
27,19236,5,10,5
42,53047,7,6,1
42,58898,6,7,5
56,112054,8,30,3
36,66455,6,6,10
60,61905,4,10,3
47,103759,6,8,6
37,22539,8,12,4
46,34422,4,5,4
39,96188,4,2,1
52,29830,10,17,9
41,26085,5,14,6
54,115595,8,12,4
24,31006,4,3,3
33,20811,10,23,1
32,25399,8,13,7
33,34417,10,24,2
54,45751,7,12,6
34,25102,4,20,2
38,55000,8,16,5
49,92564,2,28,1
50,94185,7,28,10
45,69293,2,16,7
57,40126,6,3,9
32,27496,7,9,9
46,36465,5,5,8
20,65071,10,22,5
35,78890,7,29,3
60,90165,1,19,7
38,74137,3,21,7
23,108703,8,23,2
36,57092,7,13,9
27,101949,2,11,6
30,59352,9,3,5
38,57831,10,25,8
28,107012,6,1,5
42,83540,1,14,6
31,48367,8,28,8
35,76223,7,9,3
55,112249,8,9,3
53,40699,1,1,3
21,44390,6,6,6
55,55753,4,8,1
27,85205,3,26,9
60,47483,5,24,9
39,28378,2,14,9
64,62268,10,12,10
25,96677,1,25,9
53,117811,7,3,2
32,91911,7,1,8
52,111284,10,19,10
34,78935,7,27,8
21,53776,4,22,2
61,82196,4,14,5
39,85225,3,27,6
37,57137,9,30,5
55,77783,9,8,9
53,85191,6,17,9
65,97638,9,13,4
21,16395,8,14,8
36,69423,7,20,8
32,30171,6,5,2
28,119862,4,20,3
44,83311,4,23,3
24,107427,10,19,1
22,21797,6,21,9
38,107583,1,17,10
58,49821,9,18,10
49,26293,3,7,9
52,49887,3,23,2
55,72270,4,7,4
50,75492,8,9,6
58,98836,4,13,2
28,26398,5,19,7
57,84576,3,11,9
63,86402,1,21,10
28,118401,1,12,3
32,64941,9,9,3
26,88188,5,5,10
18,29584,9,24,9
52,60225,6,1,1
63,18315,7,12,8
53,104238,6,15,1
40,105557,2,29,9
33,93640,6,5,7
42,44128,1,8,1
30,32355,5,24,1
24,91655,5,21,9
35,85999,3,12,10
59,70474,3,18,9
25,16279,5,28,7
37,97967,2,14,6
45,44806,6,12,4
55,40835,7,19,3
36,98883,9,30,9
28,51728,1,2,3
46,88549,5,24,9
35,74711,10,24,8
36,68982,4,22,1
26,114888,5,23,9
56,38152,3,6,7
49,35000,5,27,10
43,105358,9,29,6
57,35347,8,7,5
42,82685,2,21,3
30,38168,8,24,10
64,66359,3,15,6
25,53324,5,10,5
42,27020,3,16,4
24,94811,9,1,2
47,86818,1,10,2
43,99802,9,6,5
59,56979,2,26,2
40,82509,5,25,10
22,79513,1,13,2
46,115761,2,18,10
50,94313,7,21,4
29,112736,9,1,7
47,53982,4,24,8
59,55802,4,4,8
50,82200,4,11,7
53,119540,8,5,8
37,93892,8,25,1
64,46253,4,4,3
51,38214,3,22,8
39,29208,8,14,9
47,90374,3,5,10
62,55488,3,3,8
64,75276,4,21,10
25,29732,9,10,9
21,35790,8,22,7
21,96258,5,30,10
29,114405,10,7,10
31,52375,5,12,1
34,100050,10,8,7
57,42095,8,9,2
27,95977,8,3,9
22,66141,9,2,5
40,36783,7,26,5
62,73320,2,30,10
20,61409,1,20,10
24,118751,1,20,7
41,78973,4,17,9
23,50643,8,19,1
49,26388,10,28,1
63,116588,9,4,3
59,110784,4,18,4
34,64564,2,14,9
64,68529,2,21,3
63,115820,2,22,3
58,112788,10,18,9
43,29777,3,17,8
50,18620,3,24,10
61,15486,1,20,1
50,34711,1,17,8
47,99335,1,8,5
61,45662,2,24,3
42,25603,3,25,4
47,28774,5,28,8
21,23435,4,3,4
28,28674,1,30,8
59,66548,7,20,5
40,59286,5,29,7
46,19459,9,7,8
25,80614,2,21,6
64,20874,10,1,2
34,60889,5,17,4
33,99811,9,10,4
43,46445,1,10,8
41,59284,5,29,7
18,95948,7,21,9
61,95555,2,27,10
27,68447,7,20,4
28,103164,4,15,3
32,51029,7,15,1
26,110411,10,19,8
64,79408,1,7,6
25,42289,7,14,9
22,44292,2,21,1
43,96181,9,15,8
27,115145,3,19,7
57,108852,4,11,7
36,31980,8,29,1
32,115775,10,17,4
63,114319,7,20,3
65,114986,1,28,7
22,49676,6,9,2
50,102647,1,24,4
61,60160,3,22,2
40,56144,3,9,3
33,51258,9,22,6
19,22831,7,17,2
39,92058,7,8,10
59,49693,3,3,5
52,17562,7,18,8
40,72216,2,8,5
20,94387,5,18,1
33,111726,1,23,10
52,29578,9,22,5
36,110573,9,1,1
56,89290,10,7,10
31,47031,3,24,4
28,84214,4,25,4
56,114413,6,6,9
48,81133,6,22,8
52,116486,5,17,8
31,32930,8,24,1
28,108003,8,30,6
48,23784,1,27,10
55,74162,8,24,3
24,49065,7,29,1
58,61929,5,8,10
55,26513,1,8,10
41,35860,7,8,9
49,64163,1,29,8
46,92819,4,18,10
29,88852,1,27,7
19,30507,10,23,4
49,25652,5,1,5
31,88138,2,28,8
62,74275,4,19,9
24,56262,6,10,4
29,72343,3,25,9
43,116734,7,29,2
31,45941,7,18,8
45,109808,1,12,10
34,72148,6,22,3
65,83511,9,22,1
28,113375,10,7,3
29,34087,4,8,1
58,40864,9,16,3
30,119964,7,21,4
40,30664,2,21,1
33,102185,3,24,5
23,38611,6,15,5
31,34346,2,3,6
26,117415,4,27,8
52,50440,3,5,2
41,24525,5,26,2
43,84241,1,20,2
44,83527,6,28,4
42,87680,2,3,10
28,43878,3,4,1
47,58608,10,17,6
27,80475,1,6,1
40,89578,1,16,7
60,98173,10,20,2
56,39472,4,22,8
50,28543,1,26,8
44,46234,10,8,9
36,106963,5,28,2
19,54854,7,2,5
25,27809,3,15,6
62,40431,7,14,3
53,41608,5,7,4
29,86679,9,23,2
26,55932,7,10,1
21,32373,7,9,4
56,48915,9,19,5
23,36612,2,2,10
57,107645,2,27,5
18,50806,7,22,5
38,55803,10,10,3
64,37469,2,14,3
52,34795,5,2,4
43,89678,7,4,5
43,74109,1,29,4
61,40198,2,2,3
31,109445,1,19,10
51,57018,1,21,2
28,27030,2,12,4
58,108020,1,25,3
20,111705,8,11,2
41,113207,3,12,7
22,61723,1,4,8
35,86489,8,22,6
23,42580,9,29,4
31,38974,1,7,10
39,35499,4,12,9
49,36845,8,19,1
18,60237,4,1,7
20,19692,8,12,1
22,28387,4,25,5
21,22119,7,4,5
64,116410,6,5,8
32,34131,2,30,10
29,33215,10,17,6
49,105306,3,24,6
33,27933,8,24,9
46,15504,10,29,6
64,76097,4,24,6
58,44505,4,26,8
38,107245,4,20,5
62,66018,7,5,8
47,57322,4,28,7
48,89504,4,27,6
23,28275,10,14,4
63,20240,8,30,8
